0;Press menu button to\n open controller menu.;5;-1;60
1;Press START to begin\n the Learning Process.;3;-1;60
3;Press SELECT GRAB Button;3;-1;30
4; . ;3;0;30
5;Touch the target object\n with the controller. \n \n Press and hold \n the trigger.;1;-1;110
6; Hold trigger and move \n object to target area. \n\n Release trigger to drop \n the object.;1;-1;100
7;Press menu button to \n open controller menu.;5;-1;60
8;Press USE SNAP to \n enable the snapping mode.;3;-1;60
9;Press menu button to \n close controller menu.;5;-1;60
10;Touch the target \n object with \n  the controller. \n \n Press and hold \n the trigger. \n \n The object will \n now snap to \n  the controller.;1;-1;170
11;Move object to target \n area while holding\n trigger. \n \n Release trigger to \n  drop the object.;1;-1;130
12;Press menu button to\n open controller menu;5;-1;60
13;Press USE SNAP to \n disable the snapping mode;3;-1;60
14;Press SELECT GRAB Button;3;-1;30
15;. ;3;1;30
16;Select the target \n object without \n touching it. \n \n Press and hold \n the trigger\n when the controller \n is nearby.;1;-1;140
17;Move object to target \n area while holding \n the trigger \n Release trigger to \n  drop the object.;1;-1;120
18;Press menu button to \n open controller menu.;5;-1;60
19;Press USE SNAP to enable \n the snapping mode.;3;-1;60
20;Press menu button to \n  close controller menu.;5;-1;60
21;Select the target \n object without \n touching it. \n \n Press and hold \n the trigger \n when the controller \n is nearby. \n \n The object will \n now snap to \n  the controller.;1;-1;200
22;Move object to target \n area while holding \n the trigger. \n \n Release trigger to \n drop the object.;1;-1;100
23;Press menu button to \n open controller menu.;5;-1;60
24;Press USE SNAP to \n disable the snapping mode.;3;-1;60
25;Press the SELECT GRAB Button.;3;-1;30
26;.;3;2;30
27;Touch the target \n object with \n the wand. \n \n Press and hold \n the trigger.;1;-1;110
28;Move object to target \n area while holding \n the trigger. \n \n Release trigger to \n  drop the object.;1;-1;100
29;Press menu button to \n open controller menu.;5;-1;60
30;Press SELECT GRAB Button.;3;-1;30
31;.;3;3;30
32;The cursor is \n green if the object \n is selectable. \n \n The length of the ray \n will fit automatically \n or can be adjusted \n by pushing the object \n  on the ground. \n \n Point the ray \n to the target object. \n \n  Press and hold \n the trigger.;1;-1;250
33;Move object to target\n  area while holding \n the trigger. \n \n Release trigger to \n drop the object.;1;-1;100
34;Press menu button to \n open controller menu.;5;-1;60
35;Press SELECT GRAB Button.;3;-1;30
36;.;3;4;30
37;Press on top/buttom of \n touchpad to \n extend/shorten ray. \n\n Touch the target object \n with the ray. \n \n  Press and hold \n the trigger.;3;-1;160
40;Move object to \n target area while \n holding the trigger. \n \n Adjust the ray \n to required length \n with the touchpad. \n \n Release trigger to \n drop the object.;1;-1;180
29;Press menu button to \n open controller menu.;5;-1;60
41;Press SHOW TIPS to \n switch the tips on/off. \n \n Choose a specific method \n to train until you feel \n secure with it. \n  \n Repeat this for every method \n you feel unconfident with it. \n\n Press STOP to end \n the learning process,\n if you feel confindent \n with every method.;3;-1;250
42;Walk on the appearing \n red area to switch to \n the study scene. \n \n It is a supermarket!;3;-1;100
